Name,Brand,URL,Image,Score/Users
Orange Flamingo,Marc Gebauer,https://www.parfumo.com/Perfumes/marc-gebauer/orange-flamingo,https://pimages.parfumo.de/240/151626_img-6839-marc-gebauer-orange-flamingo_240.jpg,8.0 2114
Rehab,Initio,https://www.parfumo.com/Perfumes/Initio/Rehab,https://pimages.parfumo.de/240/105353_img-5116-initio-rehab_240.jpg,8.3 1624
Musc Ravageur  Eau de Parfum,Editions de Parfums Frédéric Malle,https://www.parfumo.com/Perfumes/Editions_de_Parfum_Frederic_Malle/musc-ravageur-eau-de-parfum,https://pimages.parfumo.de/240/2093_img-3854-editions-de-parfums-frederic-malle-musc-ravageur_240.jpg,8.1 1935
Au Coeur du Désert,Tauer Perfumes,https://www.parfumo.com/Perfumes/Tauer/Au_Coeur_du_Desert,https://pimages.parfumo.de/240/79058_img-7340-tauer-perfumes-au-coeur-du-desert_240.jpg,8.5 1288
Baraonda  Extrait de Parfum,Nasomatto,https://www.parfumo.com/Perfumes/Nasomatto/Baraonda,https://pimages.parfumo.de/240/77582_img-6726-nasomatto-baraonda_extrait_de_parfum_240.jpg,8.5 1376
Fico di Amalfi,Acqua di Parma,https://www.parfumo.com/Perfumes/Acqua_di_Parma/fico-di-amalfi,https://pimages.parfumo.de/240/1902_img-2468-acqua_di_parma-blu_mediterraneo__fico_di_amalfi_240.jpg,8.2 1767
Musk Therapy  Extrait de Parfum,Initio,https://www.parfumo.com/Perfumes/Initio/musk-therapy-extrait-de-parfum,https://pimages.parfumo.de/240/148105_img-3107-initio-musk-therapy_240.jpg,8.2 1659
Bal d'Afrique  Eau de Parfum,Byredo,https://www.parfumo.com/Perfumes/Byredo/Bal_d_Afrique_Eau_de_Parfum,https://pimages.parfumo.de/240/4220_img-7317-byredo-bal-d-afrique-eau-de-parfum_240.jpg,8.1 1870
Oud Satin Mood  Extrait de Parfum,Maison Francis Kurkdjian,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/Oud_Satin_Mood_Extrait_de_Parfum,https://pimages.parfumo.de/240/89518_img-5343-maison_francis_kurkdjian-oud_satin_mood_extrait_de_parfum_240.jpg,8.5 1315
Spiritueuse Double Vanille,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/Spiritueuse_Double_Vanille,https://pimages.parfumo.de/240/3507_img-7522-guerlain-spiritueuse-double-vanille_240.jpg,8.5 1294
