Name,Brand,URL,Image,Score/Users
Mon Guerlain  Eau de Parfum Intense,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/Mon_Guerlain_Eau_de_Parfum_Intense,https://pimages.parfumo.de/240/130299_img-8398-guerlain-mon_guerlain_eau_de_parfum_intense_240.jpg,8.4 689
For Her Musc Noir Rose,Narciso Rodriguez,https://www.parfumo.com/Perfumes/Narciso_Rodriguez/for-her-musc-noir-rose,https://pimages.parfumo.de/240/160288_img-4170-narciso-rodriguez-for-her-musc-noir-rose_240.jpg,8.3 743
La Belle Le Parfum,Jean Paul Gaultier,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/la-belle-le-parfum,https://pimages.parfumo.de/240/146550_img-4621-jean-paul-gaultier-la-belle-le-parfum_240.jpg,8.3 707
Florabotanica,Balenciaga,https://www.parfumo.com/Perfumes/Balenciaga/Florabotanica,https://pimages.parfumo.de/240/19424_acsbdy_florabotanica_240.jpg,7.8 1030
Chloé (2007)  Eau de Parfum,Chloé,https://www.parfumo.com/Perfumes/Chloe/Chloe,https://pimages.parfumo.de/240/227_img-4898-chloe-chloe-2007-eau-de-parfum_240.jpg,7.5 1323
Memoir Woman  Eau de Parfum,Amouage,https://www.parfumo.com/Perfumes/Amouage/Memoir_Woman,https://pimages.parfumo.de/240/10075_bgb86m_memoir_woman_240.jpg,8.3 681
Aqua Allegoria Mandarine Basilic,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/Aqua_Allegoria_Mandarine_Basilic,https://pimages.parfumo.de/240/1773_img-7799-guerlain-aqua-allegoria-mandarine-basilic_240.jpg,7.8 969
Noir pour Femme,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/Noir_pour_Femme,https://pimages.parfumo.de/240/59811_img-8473-tom-ford-noir-pour-femme_240.jpg,8.4 636
Hundred Silent Ways  Extrait de Parfum,Nishane,https://www.parfumo.com/Perfumes/Nishane/Hundred_Silent_Ways,https://pimages.parfumo.de/240/72592_img-8446-nishane-hundred-silent-ways_240.jpg,8.0 828
Alien Essence Absolue,Mugler,https://www.parfumo.com/Perfumes/mugler/Alien_Essence_Absolue,https://pimages.parfumo.de/240/17825_img-6447-mugler-alien-essence-absolue_240.jpg,8.3 634
Zen (2007)  Eau de Parfum,Shiseido / 資生堂,https://www.parfumo.com/Perfumes/Shiseido/Zen_2007_Eau_de_Parfum,https://pimages.parfumo.de/240/222_img-2560-shiseido-zen-2007-eau-de-parfum_240.jpg,7.8 991
Mitsouko  Eau de Parfum,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/Mitsouko,https://pimages.parfumo.de/240/3461_img-7954-guerlain-mitsouko-eau-de-parfum_240.jpg,8.0 796
N°5 Eau Première,Chanel,https://www.parfumo.com/Perfumes/Chanel/No_5_Eau_Premiere,https://pimages.parfumo.de/240/845_8yngbx_n5_eau_premiere_240.jpg,8.2 691
Infusion d'Iris (2007)  Eau de Parfum,Prada,https://www.parfumo.com/Perfumes/Prada/Infusion_d_Iris,https://pimages.parfumo.de/240/443_img-2206-prada-infusion_d_iris_eau_de_parfum_2007_240.jpg,7.9 841
Delina La Rosée,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/delina-la-rosee,https://pimages.parfumo.de/240/146515_img-5264-parfums-de-marly-delina-la-rosee_240.jpg,8.2 682
Black Opium  Eau de Parfum,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Black_Opium,https://pimages.parfumo.de/240/45685_img-8962-yves_saint_laurent-black_opium_eau_de_parfum_240.jpg,7.2 1543
J'adore  Eau de Parfum,Dior,https://www.parfumo.com/Perfumes/Dior/J_Adore,https://pimages.parfumo.de/240/65_img-5332-dior-j-adore-eau-de-parfum_240.jpg,7.5 1210
Mon Précieux Nectar,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/Mon_Precieux_Nectar,https://pimages.parfumo.de/240/11978_vjsun2_mon_precieux_nectar_240.jpg,8.3 591
Cheirosa '62,Sol de Janeiro,https://www.parfumo.com/Perfumes/Sol_de_Janeiro/cheirosa-62-brazilian-crush-cheirosa-62,https://pimages.parfumo.de/240/86229_img-3155-sol-de-janeiro-brazilian-crush-cheirosa-62_240.jpg,8.0 781
Coco Mademoiselle  Eau de Parfum Intense,Chanel,https://www.parfumo.com/Perfumes/Chanel/Coco_Mademoiselle_Eau_de_Parfum_Intense,https://pimages.parfumo.de/240/103758_img-2774-chanel-coco_mademoiselle_eau_de_parfum_intense_240.jpg,8.3 616
This Is Her!,Zadig & Voltaire,https://www.parfumo.com/Perfumes/Zadig__Voltaire/This_is_Her,https://pimages.parfumo.de/240/75952_img-1728-zadig__voltaire-this_is_her_240.jpg,7.5 1113
Shalimar Parfum Initial,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/Shalimar_Parfum_Initial,https://pimages.parfumo.de/240/11748_img-5712-guerlain-shalimar_parfum_initial_240.jpg,8.1 663
Pour Femme  Eau de Parfum,Lacoste,https://www.parfumo.com/Perfumes/Lacoste/Lacoste_pour_Femme,https://pimages.parfumo.de/240/171_img-1663-lacoste-pour-femme-eau-de-parfum_240.jpg,7.8 863
Manifesto L'Elixir,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Manifesto_L_Elixir,https://pimages.parfumo.de/240/29894_img-8995-yves_saint_laurent-manifesto_l_elixir_240.jpg,8.5 515
Gourmand Coquin,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/gourmand-coquin,https://pimages.parfumo.de/240/3410_img-2413-guerlain-les-elixirs-charnels-gourmand-coquin_240.jpg,8.4 523
Good Girl  Eau de Parfum,Carolina Herrera,https://www.parfumo.com/Perfumes/Carolina_Herrera/Good_Girl_Eau_de_Parfum,https://pimages.parfumo.de/240/76956_zowzye_good_girl_240.jpg,7.6 1009
N°5  Parfum,Chanel,https://www.parfumo.com/Perfumes/Chanel/No_5,https://pimages.parfumo.de/240/16_rv5ddb_n5_240.jpg,7.5 1081
La Nuit Trésor à la Folie,Lancôme,https://www.parfumo.com/Perfumes/Lancome/La_Nuit_Tresor__la_Folie,https://pimages.parfumo.de/240/101278_img-2209-lancome-la-nuit-tresor-a-la-folie_240.jpg,8.3 561
Signature  Eau de Parfum,Montblanc,https://www.parfumo.com/Perfumes/Montblanc/signature,https://pimages.parfumo.de/240/138701_img-9441-montblanc-signature_240.jpg,7.8 805
Le Bain  Eau de Parfum,Joop!,https://www.parfumo.com/Perfumes/Joop/Le_Bain,https://pimages.parfumo.de/240/1810_img-9099-joop-le-bain-eau-de-parfum_240.jpg,7.6 1013
Goddess  Eau de Parfum,Burberry,https://www.parfumo.com/Perfumes/Burberry/goddess-eau-de-parfum,https://pimages.parfumo.de/240/213786_img-5805-burberry-goddess_240.jpg,7.9 788
Bottega Veneta  Eau de Parfum,Bottega Veneta,https://www.parfumo.com/Perfumes/Bottega_Veneta/Bottega_Veneta,https://pimages.parfumo.de/240/13656_img-5923-bottega_veneta-bottega_veneta_eau_de_parfum_240.jpg,7.9 753
